                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.53158,                0.28962,                0.85766,                0.98599,                0.97902,                0.99354,                0.86212,                0.60377,                0.30485,                0.88971,               0.008845,               0.008845,               0.008845
                     37,                0.52997,                0.29255,                0.85957,                0.98391,                0.97713,                0.99312,                0.87193,                0.60635,                0.31423,                 0.8935,               0.008812,               0.008812,               0.008812
                     38,                0.52742,                0.28681,                0.85734,                0.98599,                0.98434,                0.99369,                0.86233,                0.64708,                 0.2937,                0.90179,               0.008779,               0.008779,               0.008779
                     39,                0.53008,                0.28649,                 0.8598,                0.99209,                0.99201,                 0.9939,                 0.8777,                0.59988,                0.28601,                0.88969,               0.008746,               0.008746,               0.008746
                     40,                0.52833,                0.28582,                0.86003,                0.99815,                0.98601,                0.99407,                0.87517,                0.60125,                0.30076,                0.88904,               0.008713,               0.008713,               0.008713
                     41,                0.52746,                0.28425,                 0.8572,                0.99396,                0.98694,                 0.9939,                0.87093,                0.61046,                0.28236,                0.89056,                0.00868,                0.00868,                0.00868
                     42,                0.52712,                0.28077,                0.85831,                0.99197,                0.98676,                0.99385,                 0.8611,                0.64449,                0.29761,                0.89899,               0.008647,               0.008647,               0.008647
                     43,                0.52453,                0.28114,                0.85804,                0.99742,                0.98202,                0.99394,                0.86304,                0.59901,                0.29063,                0.88801,               0.008614,               0.008614,               0.008614
                     44,                0.52869,                0.28485,                0.85924,                0.99497,                0.98766,                0.99392,                0.86348,                0.62545,                0.27924,                0.89903,               0.008581,               0.008581,               0.008581
                     45,                0.52556,                0.28177,                0.85702,                0.99797,                0.98097,                 0.9939,                0.87289,                0.59513,                0.28538,                0.88726,               0.008548,               0.008548,               0.008548
                     46,                0.52195,                0.27792,                0.85736,                   0.99,                0.95504,                0.99063,                0.86339,                0.61713,                0.31836,                0.90098,               0.008515,               0.008515,               0.008515
                     47,                 0.5206,                0.27692,                0.85925,                0.98405,                0.96404,                0.99077,                0.87103,                0.58602,                0.31961,                0.89061,               0.008482,               0.008482,               0.008482
                     48,                 0.5236,                0.27845,                0.85545,                0.98957,                0.95704,                0.98731,                0.86464,                0.60437,                0.37119,                0.89477,               0.008449,               0.008449,               0.008449
                     49,                0.52174,                0.27939,                0.85927,                0.99375,                0.95303,                0.98672,                0.85595,                0.63658,                0.34685,                0.90256,               0.008416,               0.008416,               0.008416
                     50,                0.51967,                0.27402,                0.85205,                0.99549,                0.96803,                0.99314,                0.86466,                0.63765,                0.30665,                 0.9004,               0.008383,               0.008383,               0.008383
                     51,                0.51803,                0.27438,                0.85798,                0.99491,                0.97575,                 0.9937,                0.87028,                0.60408,                0.29057,                0.88583,                0.00835,                0.00835,                0.00835
                     52,                0.51973,                0.27564,                0.85716,                0.98732,                0.98901,                0.99389,                0.87447,                0.61201,                0.28731,                0.88539,               0.008317,               0.008317,               0.008317
                     53,                0.52381,                0.27734,                0.85451,                0.99553,                0.96903,                0.99327,                0.86937,                0.61624,                0.31825,                0.89248,               0.008284,               0.008284,               0.008284
                     54,                0.51866,                0.27256,                0.85669,                0.99257,                0.98102,                0.99376,                0.87251,                0.59539,                0.28255,                0.89128,               0.008251,               0.008251,               0.008251
                     55,                0.51466,                0.27122,                0.85485,                0.98901,                0.97902,                0.99363,                0.87434,                0.59342,                0.29172,                 0.8806,               0.008218,               0.008218,               0.008218
                     56,                0.51582,                0.27042,                0.85435,                0.98895,                 0.9836,                0.99359,                0.87673,                0.60401,                0.29083,                0.90102,               0.008185,               0.008185,               0.008185
                     57,                0.51065,                 0.2689,                0.85936,                0.99694,                0.97797,                0.99355,                0.86188,                0.63263,                0.30277,                0.91325,               0.008152,               0.008152,               0.008152
                     58,                0.51662,                0.27253,                0.85824,                0.99092,                0.98138,                0.99336,                0.86289,                0.63121,                0.28294,                0.89452,               0.008119,               0.008119,               0.008119
                     59,                0.51744,                0.27048,                0.85465,                0.98056,                0.95749,                0.99124,                 0.8666,                0.60943,                0.28846,                0.89614,               0.008086,               0.008086,               0.008086
                     60,                0.51802,                0.27061,                0.86031,                0.99568,                0.98102,                0.99381,                0.86902,                 0.6255,                 0.2824,                0.90459,               0.008053,               0.008053,               0.008053
                     61,                0.51551,                0.26977,                0.85842,                0.98849,                0.96304,                0.98946,                0.87397,                0.59795,                0.29741,                0.89235,                0.00802,                0.00802,                0.00802
                     62,                0.51218,                0.26506,                0.85766,                0.99234,                0.96803,                0.99184,                0.87355,                0.58792,                0.28228,                0.88282,               0.007987,               0.007987,               0.007987
                     63,                0.51633,                0.26634,                 0.8577,                0.98982,                0.97177,                0.99301,                0.86694,                0.61317,                0.28156,                0.90122,               0.007954,               0.007954,               0.007954
                     64,                0.51212,                0.26897,                0.85627,                0.98155,                0.91708,                0.96903,                0.84666,                0.63029,                0.39517,                0.90585,               0.007921,               0.007921,               0.007921
                     65,                0.51471,                0.26815,                0.85683,                0.98998,                0.98742,                0.99378,                 0.8677,                0.61728,                0.26373,                0.89209,               0.007888,               0.007888,               0.007888
                     66,                  0.511,                0.26377,                 0.8546,                0.98197,                0.97959,                 0.9929,                0.86324,                 0.6185,                0.27613,                0.89758,               0.007855,               0.007855,               0.007855
                     67,                 0.5147,                0.26854,                0.85862,                0.99269,                0.94995,                0.98772,                0.86538,                0.60313,                0.33023,                0.89496,               0.007822,               0.007822,               0.007822
                     68,                0.52155,                0.27007,                0.85746,                0.98484,                0.97363,                0.99259,                0.86508,                0.62238,                0.29228,                0.89407,               0.007789,               0.007789,               0.007789
                     69,                0.50776,                0.26289,                0.85241,                0.99795,                 0.9749,                 0.9933,                 0.8751,                0.60256,                0.28761,                0.87942,               0.007756,               0.007756,               0.007756
                     70,                0.51469,                0.26697,                0.85973,                0.99392,                0.98056,                0.99375,                0.86796,                0.62032,                0.29515,                0.89668,               0.007723,               0.007723,               0.007723
                     71,                 0.5121,                0.26503,                0.85678,                0.99167,                0.98402,                 0.9936,                0.87628,                0.59799,                0.27738,                0.88564,                0.00769,                0.00769,                0.00769
                     72,                0.51071,                0.26259,                 0.8559,                0.99193,                0.98241,                0.99349,                0.87482,                0.60527,                0.28151,                0.89183,               0.007657,               0.007657,               0.007657
                     73,                0.50518,                0.25931,                0.85408,                0.99087,                0.97628,                0.99355,                0.87135,                0.61422,                0.29006,                 0.8902,               0.007624,               0.007624,               0.007624
                     74,                0.50933,                0.26166,                0.85325,                0.99797,                0.98079,                0.99393,                0.86973,                0.61146,                0.27435,                0.89092,               0.007591,               0.007591,               0.007591
                     75,                 0.5056,                0.25974,                0.85624,                0.99493,                0.98501,                0.99391,                0.88002,                 0.5803,                0.26029,                0.88397,               0.007558,               0.007558,               0.007558
                     76,                0.50515,                 0.2609,                0.85645,                0.99295,                0.98489,                0.99376,                0.87634,                0.58749,                0.27191,                0.88636,               0.007525,               0.007525,               0.007525
                     77,                0.50696,                0.26198,                0.85323,                0.99388,                0.97387,                0.99344,                0.87068,                0.60022,                0.26795,                0.88331,               0.007492,               0.007492,               0.007492
                     78,                0.51035,                0.26376,                 0.8533,                0.99357,                0.95604,                0.98988,                0.86787,                0.60829,                0.29098,                0.88644,               0.007459,               0.007459,               0.007459
                     79,                0.51205,                0.26142,                0.85567,                0.99181,                0.96778,                0.99257,                0.87182,                0.60469,                0.27187,                0.88387,               0.007426,               0.007426,               0.007426
